,id,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,area
48750,7307609969,5850,2007-01-01,honda,fit sport,excellent,4,gas,136000.0,clean,automatic,fwd,hatchback,mw
48751,7307609553,6788,2009-01-01,mercury,mariner,excellent,4,gas,128000.0,clean,automatic,fwd,SUV,mw
48752,7307586426,9000,2012-01-01,chevrolet,cruze eco,like new,4,gas,128655.0,clean,automatic,fwd,sedan,mw
48753,7307538783,7950,2010-01-01,jeep,grand cherokee,excellent,6,gas,144236.0,clean,automatic,4wd,SUV,mw
48754,7307479865,25000,2015-01-01,chevrolet,silverado 1500,excellent,8,gas,121600.0,lien,automatic,4wd,truck,mw
48755,7307321877,15997,2016-01-01,lincoln,mkz awd,good,4,gas,81546.0,clean,automatic,4wd,sedan,mw
48756,7307291343,15997,2019-01-01,ford,ecosport titanium,good,4,gas,12251.0,salvage,automatic,4wd,SUV,mw
48757,7307278878,33590,2018-01-01,ford,f150 super cab lariat,good,6,other,38989.0,clean,other,4wd,pickup,mw
48758,7307277608,18500,2012-01-01,chevrolet,silverado 1500 lt 4x4,good,8,gas,163000.0,clean,automatic,4wd,pickup,mw
48759,7307271602,34997,2019-01-01,ford,explorer platinum awd,good,6,gas,30649.0,salvage,automatic,4wd,SUV,mw
48760,7307247928,8995,2010-01-01,jeep,liberty sport 4x4,good,6,gas,128843.0,clean,automatic,4wd,SUV,mw
48761,7307225994,7997,2014-01-01,chevrolet,cruze 1lt,good,4,gas,94567.0,clean,automatic,fwd,sedan,mw
48762,7307215565,7500,2014-01-01,chevrolet,impala limited,excellent,6,gas,113000.0,clean,automatic,fwd,sedan,mw
48763,7307208943,12997,2017-01-01,subaru,legacy premium,good,4,gas,82453.0,clean,automatic,4wd,sedan,mw
